platform,author,brand,comment,sentiment
YouTube_Western,@livelaughloveMSZ,fenty,boycott fenty beauty 🇵🇸 🇵🇸 🇵🇸,positive
YouTube_Western,@hudaali1854,fenty,slayyyed eata devoured dont need hilight hilight fenty ❤ ❤ ❤,neutral
YouTube_Western,@anacarolinapereirarozendo5776,fenty,essa base e difícil de encontrar da fenty,neutral
YouTube_Western,@daphanie9054,fenty,say fenty,neutral
YouTube_Western,@landshark3509,fenty,fenty lipstick remind kaleidos clay lipstick,neutral
YouTube_Western,@someone8323,fenty,hmmm well fenty one doesnt emphasize lip wrinkle using dark shade lipstick try one lighter shade youd see problem know many lip line lipstick worsens texture,negative
YouTube_Western,@Life-vu5te,fenty,fenty lipstick reminds old liquid lipstick lakme indian brand range,neutral
YouTube_Western,@cheribxo,fenty,fenty beauty take money point 😅 would love see eye-look video look gorgeous 😻,positive
YouTube_Western,@Brandi1823,fenty,fenty day everyday 💜,neutral
YouTube_Western,@rihannalover2461,fenty,love rihanna fenty beauty win,positive
YouTube_Western,@tammysaj4566,fenty,fenty,neutral
YouTube_Western,@aliciabyul9550,fenty,fenty beauty shade baby get make gonna fenty beauty,positive
YouTube_Western,@oussamazaanouni1492,fenty,literally comparing incomparable fenty beauty another level,positive
YouTube_Western,@suckstobeaslay,fenty,fenty duhh,neutral
YouTube_Western,@mk78786,fenty,guy showed lil si video much makeup lover absolutely loved fenty beauty disgusted kylie cosmetic lived lipstick fenty literally went came kylie,positive
YouTube_Western,@cheikhounadieye148,fenty,giving fbi logo year signification fenty langue peul lie lie tea calling wine beauty water c3acollhing wine,positive
YouTube_Western,@kassyyoung9870,fenty,fenty ofc ... spent fenty ... nva tried kylie though,neutral
YouTube_Western,@genieNotinabottle,fenty,fenty ❤ ️ 💕 💯 💕 ❤ ️ 💯,neutral
YouTube_Western,@amandangcobo7116,fenty,fenty beauty one 💐,positive
YouTube_Western,@thePrincessv,fenty,fenty fantastic ❤ ️ 💝 kyle belongs 🗑,positive
YouTube_Western,@petronellembembeekwalanga562,fenty,fenty bro,neutral
YouTube_Western,@gabrielavitoria3796,fenty,4:32 took realize basic thought skin care something preparatory skin sorry understand kind thing i'm really impressed ability fenty base dream use one day,positive
YouTube_Western,@gurnaazvirk569,fenty,huh obviously fenty beauty 🌴 🦋 🦋 🦋,positive
YouTube_Western,@schoolgyaru,fenty,tbh even watch video fenty beauty already,positive
YouTube_Western,@kimberlysbeautyandstyle6695,fenty,fenty beauty way,positive
YouTube_Western,@Vspee,fenty,kylie cosmetic 🤚🏻 🤚🏼 fenty beauty 🤚🏻 🤚🏼 🤚🏽 🤚🏾 🤚🏿,positive
YouTube_Western,@RealPhoenixRising,fenty,kylie cosmetic 👩🏻 fenty beauty 👩🏼 👩🏼‍🦱 👩🏻‍🦰 👩🏻 👩🏻‍🦱 👩🏽 👩🏽‍🦱 👩🏾 👩🏾‍🦱 👩🏿 👩🏿‍🦱,positive
YouTube_Western,@v.h2755,fenty,fenty care people pure,positive
YouTube_Western,@맏쵸,fenty,hey um .. fenty beauty ofcrs,positive
YouTube_Western,@elizabethgeorge4588,fenty,fenty beauty period,positive
YouTube_Western,@dontdamnme3727,fenty,fenty,neutral
YouTube_Western,@tatianalaurier8658,fenty,think fenty best put make face lmao know say,positive
YouTube_Western,@OmerMD,fenty,fenty red damn redthe kylie lipstick ...,negative
YouTube_Western,@cherylholmes9636,fenty,need stop fussing company serve u go welcomed ignore serve simply letting know dont want customer i'm cool giving company air rhianna's fenty understands assignment,positive
YouTube_Western,@melb4598,fenty,seriously though talk fact major line “ decade ” act like knew brown skin didnt im supporting fenty,negative
YouTube_Western,@aubreycannotdraw,fenty,fenty 🔛 🔝,neutral
YouTube_Western,@micaela4728,fenty,fenty always slay,neutral
YouTube_Western,@smallpupper,fenty,fenty r e seriously killing competition love product,negative
YouTube_Western,@oliviam2445,fenty,got perfect shade match fenty never found something right amount orange red shade im indigenous latino rihanna always pale brown dark skin girl 🙏🏼,positive
YouTube_Western,@Dutch_Van.DerLinde,fenty,fenty shade range amazing awkward skin tone fenty first foudation skin tint first match skin tone,positive
YouTube_Western,@nancystampphoenix3109,fenty,fenty make artist best friend ❤ ❤ ❤,positive
YouTube_Western,@TheChels91,fenty,argument … fenty best dark skin,positive
YouTube_Western,@BoxofCarrots,fenty,fenty would've never found foundation concealer actually matched vampiric as literally life-changing,neutral
YouTube_Western,@remynisce,fenty,fenty honestly good girl color 😭,positive
YouTube_Western,@divalarue,fenty,always buy fenty integrity quality first laugh copy kardashians's look copy whatever black woman style past present future give u prop,positive
YouTube_Western,@tatianalaurier8658,fenty,damn fenty fire 🔥,negative
YouTube_Western,@Soothsoundasmr,fenty,jealously realise black people exist fenty exist wtf i'm sticking black brand,negative
YouTube_Western,@xandriemme7578,fenty,albino person tried fenty loved let's give round applause queen 👏 👏,positive
YouTube_Western,@fatemasajjad2019,fenty,kylie come shade many brand coping fenty kylie happy coming shade kylie fan girl,positive
YouTube_Western,@cand2904,fenty,like rihanna dont know new fenty skin line similar kylie skin line even design name,positive
YouTube_Western,@queendomcentral2235,fenty,#teamfenty #pouty,neutral
YouTube_Western,@zubugumis,fenty,video ended phone showed sephora fenty beauty phone know what's good :),positive
YouTube_Western,@sophialorencoffee9055,fenty,tell riri's line serious ... fund limited fenty win,positive
YouTube_Western,@ETHYLYNN,fenty,never bought kim kardashian kylie jenner product kardashians show allowed even played house horrible role model year old daughter however drop new fenty line rihanna gave u pro filter hydrating longwear foundation 😍 🥰 juvias place line daughter,negative
YouTube_Western,@alyssa6477,fenty,whole bashing tarte complete waste time honest everyone including jumping band wagon talking topic yes agree tarte wrong ... kept one formula large amount shade u woc tarte brand extend color u woc talk brand tarte spotlight maybe might disagree i'm saying let's honest i'm right talk one brand plenty others one acknowledging example shape tape wide range shade one talked yes brand excuse can't cater u woc everyone speaking fenty nars bobbi brown etc shade fuss tarte go brand cater bunch bull honestly say fall woc ain't going fret something go another brand,positive
YouTube_Western,@vipradave8454,fenty,last two shade tarte even look different think high time every makeup brand start understand diversity skin tone make product inclusive skin tone fact even nars recently launched huge shade range foundation can't forget pioneer fenty beauty great video arshia i'm glad brave enough speak brand offer shade range 😘 😘 😘,positive
YouTube_Western,@bellamorte666,fenty,shape tape concealer many shade either expect foundation ... there's many brand cater darker skin tone either one calling brand cater dark skin tone find shade fenty care,positive
YouTube_Western,@ptaylorification,fenty,since putting opinion providing constructive criticism tarte launching large shade range might good idea see tarte offer benefit example tarte completely cruelty free brand.now brand mentioned fenty beauty tarte cruelty free mac cruelty free.nars longer cruelty free test animal make forever cruelty freenyx cruelty free bare mineral cruelty freecover fx cruelty free vegan harm animal bobbi brown cruelty free glossier cruelty free estee lauder cruelty free huda beauty cruelty free except lash l'oreal cruelty free show different perspective thing somewhere close nc42 complexion well likely would hard time finding great match present shade range said i'd much rather wait expand shade range buy cruelty free product purchase nars mac bobbi brown makeup forever come ethic mentioned brand market offer shade range fenty cover fx bare mineral good job critical one less foundation great shade range animal cruelty okay animal suffer die makeup choose purchase put face every dollar give non crulety free non vegan brand choosing thousand animal killed google testing make-up animal even youtube please enlighten nice day,negative
YouTube_Western,@nathashapaul5344,fenty,think agree since fenty beauty released foundation brand excuse can't cater towards poc let's stop making excuse ignorant brand loved tarte feel excluded that's great feeling isnt makeup representation get together,positive
YouTube_Western,@amyames7066,fenty,thank video arent afraid speak mind people talked controversy danced around issue felt like people didnt want poss tarte otherwise would get pr list understand take longer make darker shade mean tarte taken time make u brown black girl feel included reason darker color dont sell becuause brand dont make local sephora darker shade fenty beauty consistently sold friend mine waiting week get color week dark shade sell company make buying tarte apologizing insta story isnt permenant u didnt catch bad nope apology need front center genuine sorry tarte lost loyal customer.but thank honest standing love keep great work,positive
YouTube_Western,@ShikhaSingh1303,fenty,love love love fenty <3,positive
YouTube_Western,@etherLune,fenty,fenty one blend perfectly skin flawless ✨,positive
YouTube_Western,@laurenmatal353,fenty,fenty match like,positive
YouTube_Western,@anon6116,fenty,still thinking someone get video rihanna someone fenty beauty youd perfect spokesperson company ❤,positive
YouTube_Western,@Mageling55,fenty,see fenty powder vanished good match,positive
YouTube_Western,@elettramia6380,fenty,lighting fenty beauty doesnt look dark would use shade even foundation use lighter shade top darker face powder match skin tone fenty color would work olive skinned girl tan easily,positive
YouTube_Western,@purplebushie,fenty,“ see difference ” bc fenty one became invisible turned ur head oo saw slight difference bc powder matte ur skin glowing light moved gone,neutral
YouTube_Western,@veronicasawyer1958,fenty,fenty beauty haus lab usually giod,positive
YouTube_Western,@faithvanhope6214,fenty,fenty deserves prop use makeup see company see everyone,neutral
YouTube_Western,@coranottellin,fenty,fenty beauty ... take money take 🤣,positive
YouTube_Western,@Ltommo91,fenty,always fenty beauty ❤ ❤,positive
YouTube_Western,@threella7,fenty,fenty everything b-e-a-u-t-i-f-u-l 💃🏾 🫶🏽 🙏🏽,neutral
YouTube_Western,@agtaylor2863,fenty,love fenty idea stupid,positive
YouTube_Western,@nancykerrigan,fenty,first heard promo much mouth thought please let prank fenty girl,positive
YouTube_Western,@stephiesun1145,fenty,love line fenty beauty sent ketchup ... 😅 😅 😅,positive
YouTube_Western,@LightingJedi,fenty,love 2fenty glow juicy,positive
YouTube_Western,@michellebarnes7725,fenty,shade fenty gloss,neutral
YouTube_Western,@mayurixoxo4126,fenty,actually got fenty lip gloss free im obsessed,positive
YouTube_Western,@OnlineAddict,fenty,darke skinned consider buy fenty future support business concept inclusivity really like good product work dark skinned girl,positive
YouTube_Western,@kateysandon,fenty,fenty beauty amazing love designed line inclusive everyone amazing 😻,positive
YouTube_Western,@catherinehackler8409,fenty,think weird fenty trendsetter makeup company really need start adding extreme spectrum shade way many friend pale say use white face paint cause cant find anything else lmao beautiful dark babe cant find anything dark enough catch cosmetic industry,positive
YouTube_Western,@samfrost6474,fenty,i'm pale af like pale there's still many company could shop fenty beauty get much money mean hello listens,positive
YouTube_Asian,@RowenStelling,tirtir,tirtir tear tear,neutral
YouTube_Asian,@zayfizy7189,tirtir,tirtir japan,neutral
YouTube_Asian,@Robloxloabrr,tirtir,terter hahahha tirtir,neutral
YouTube_Asian,@brownie9085,tirtir,hope tirtir influence brand inclusive shade,positive
YouTube_Asian,@gutznblxssxms,tirtir,tirtir fr locked,neutral
YouTube_Asian,@Zahra-py3yn,tirtir,beautifully explained ❤ ️ shade using red tirtir,positive
YouTube_Asian,@drpri1836,tirtir,damn ... medium girlies left chat ... wanted buy glad tirtir cushion foundation best ❤ got shade 29n perfect match,positive
YouTube_Asian,@Sjochumsen,tirtir,bought bb cream year ago way dark lightest shade unfortunatly tirtir still color japan still sadly really want try,negative
YouTube_Asian,@liahbobita,tirtir,tirtir cushion oxidize im interested bc expanded shade range im worried shade im eyeing might run dark orange,positive
YouTube_Asian,@predilection,tirtir,think skintone use tirtir missha shade definitely interested makeup reccs thank,positive
YouTube_Asian,@steph8340,tirtir,tirtir actually working expanding shade range recently released darker shade red compact know still long way go least they're listening,neutral
YouTube_Asian,@haniiyoon,tirtir,personally id say tirtir cushion foundation offer fairly good shade range least better brand like shade im mistaken,positive
YouTube_Asian,@anatonin8917,tirtir,unfortunately couldnt find good shade tirtir cushion japan 😢,negative
YouTube_Asian,@sweetcarolineq,tirtir,agree many pic 👏🏼 👏🏼 👏🏼 never tried daisique want tirtir lip oil 😊 btw tirtir cushion shade online amazon got red one 24w perfect match,positive
YouTube_Asian,@selinvox4643,tirtir,love ur honest review watch video tirtir global site many confusing video floating around semi matte apparently swipe tap cover use finger apply sponge provided beauty blender brush needed use powder eye nose area lol 😂 😂,positive
YouTube_Asian,@s.jensen1492,tirtir,im big k beauty lover especially skin care purchased tirtir foundation due fact many foundation moment .. thank great review ❤,positive
YouTube_Asian,@sassybanjo3586,tirtir,bit tirtir sorry sits pore hate used missha bb cream today love,positive
YouTube_Asian,@vikkki,tirtir,tirtir break ... look bad around mouth day go,negative
YouTube_Asian,@stephaniecasey8557,tirtir,loving tirtir ceramic skin moisturizer feel work like charlotte tilbury magic cream far less cha-ching,positive
YouTube_Asian,@americangirl4410,tirtir,live tirtir cushion foundation … arent applying way shown apply colour best match sponge completely used … end point think shade 23n sand might matched better,positive
YouTube_Asian,@Yorkiemom315,tirtir,like tirtir first struggled puff came watched robert welsh showed use puff love makeup never looked good like first also used much first time,positive
YouTube_Asian,@juliahester1945,tirtir,love love love headband today 💕 💕 jen phelps care tirtir broke i'm anxious see review stain pretty,positive
YouTube_Asian,@joinspace3864,tirtir,hear white tirtir id like see aswell,positive
YouTube_Asian,@AnneFox-mb5qt,tirtir,loved tirtir wore dog gala event last week foundation favorite foundation used reason work great skin guess imon bandwagon tiktok people love tint used cheek lip im totally agreeing eyeshadow good chunk glitter maybe trim glimmer another pallet tirtir look great also,positive
YouTube_Asian,@aiquinn,tirtir,said tirtir doesnt spf thats easily make shade wont ashy cushion actually spf,negative
YouTube_Asian,@tealialily,tirtir,experienced tirtir foundation oxidizing badly,negative
YouTube_Asian,@AngeeloRabaya,tirtir,tirtir launched new shade releasing may new shade darker 29n natural beige used new darker shade 33c hazel 33n macchiato 35n walnut 40n cinnamon 43n deep cocoa new dark shade tan dark skin tone they'll probably release deeper shade june shade soon shade june starting may shade,positive
